frequency,frequency,amplitude,phase,I,Q
5228000000.0,5305000000.0,0.13125455286216803,-0.34174392228933165,0.12366431951522827,-0.04398742690682411
5228000000.0,5305250000.0,0.13206022923205363,-0.34424061580473064,0.12431252002716064,-0.04456794261932373
5228000000.0,5305500000.0,0.13153442558517145,-0.3428657308275972,0.12387847900390625,-0.0442202165722847
5228000000.0,5305750000.0,0.13170938972148413,-0.34374843873928973,0.12400412559509277,-0.04438851401209831
5228000000.0,5306000000.0,0.13121752877320145,-0.34387471409273695,0.12353545427322388,-0.04423834756016731
5228000000.0,5306250000.0,0.13194040557478479,-0.34367378248818337,0.1242249459028244,-0.044457096606492996
5228000000.0,5306500000.0,0.13174550512571256,-0.342713399656655,0.12408401817083359,-0.044272277504205704
5228000000.0,5306750000.0,0.13177781636230437,-0.34370209678585667,0.12407060712575912,-0.044405825436115265
5228000000.0,5307000000.0,0.13236868629202822,-0.34310209609164377,0.124653659760952,-0.044530149549245834
5228000000.0,5307250000.0,0.1319270445375796,-0.3420208050377701,0.12428567558526993,-0.04424721375107765
5228000000.0,5307500000.0,0.1325097079744835,-0.34686947602141166,0.12461763620376587,-0.04504739120602608
5228000000.0,5307750000.0,0.1319157619011372,-0.34625486950272444,0.12408660352230072,-0.04476922005414963
5228000000.0,5308000000.0,0.13158441496683365,-0.3460931315809348,0.12378214299678802,-0.04463674873113632
5228000000.0,5308250000.0,0.13139664871512524,-0.3498149756244828,0.123438760638237,-0.04503278434276581
5228000000.0,5308500000.0,0.13155342671578774,-0.35611045516289774,0.12329975515604019,-0.04586365073919296
5228000000.0,5308750000.0,0.1316555374178168,-0.35527975779320986,0.12343354523181915,-0.04579672962427139
5228000000.0,5309000000.0,0.13090723451691355,-0.37146744609119353,0.12197879701852798,-0.04751712456345558
5228000000.0,5309250000.0,0.13092585584847533,-0.37326306768573814,0.12191061675548553,-0.04774286597967148
5228000000.0,5309500000.0,0.13009616372871166,-0.3919144451302627,0.12023220956325531,-0.049691323190927505
5228000000.0,5309750000.0,0.12987472616524368,-0.3976019867626591,0.1197434812784195,-0.050288598984479904
5228000000.0,5310000000.0,0.1297303882490044,-0.41244204741698715,0.11885180324316025,-0.05200213938951492
5228000000.0,5310250000.0,0.12897402259658194,-0.42684748236491915,0.11740188300609589,-0.05339565873146057
5228000000.0,5310500000.0,0.12820584867610327,-0.44660817163466143,0.11563106626272202,-0.05537324398756027
