frequency,frequency,amplitude,phase,I,Q
5215000000.0,5340000000.0,0.12968792292109377,-0.5477837199752406,0.11071209609508514,-0.06754101812839508
5215000000.0,5340250000.0,0.1272800888912325,-0.5757049807649061,0.10676364600658417,-0.06929462403059006
5215000000.0,5340500000.0,0.12760754808755403,-0.5470408185818444,0.10898546129465103,-0.06637661904096603
5215000000.0,5340750000.0,0.12740107254367658,-0.5752249340451626,0.10689841210842133,-0.06930918246507645
5215000000.0,5341000000.0,0.12907290261939086,-0.579728997135575,0.10798382759094238,-0.07070577889680862
5215000000.0,5341250000.0,0.12653917329318382,-0.5627331115566662,0.1070268526673317,-0.06750863045454025
5215000000.0,5341500000.0,0.12919953983743623,-0.559879660524138,0.10947322845458984,-0.06861583888530731
5215000000.0,5341750000.0,0.12718806291535673,-0.5638993193627398,0.107496477663517,-0.06798022240400314
5215000000.0,5342000000.0,0.12525034903661617,-0.5746235587265794,0.1051347628235817,-0.06807592511177063
5215000000.0,5342250000.0,0.12818369596443807,-0.5610589012614273,0.1085321307182312,-0.0682043731212616
5215000000.0,5342500000.0,0.12786500239025658,-0.5707226390748837,0.10759977996349335,-0.06907782703638077
5215000000.0,5342750000.0,0.129413851972321,-0.5690857992031055,0.10901744663715363,-0.06973622739315033
5215000000.0,5343000000.0,0.12588245255926062,-0.5766380459499381,0.10552730411291122,-0.06863220781087875
5215000000.0,5343250000.0,0.12912212714610863,-0.579584496927889,0.10803522914648056,-0.07071713358163834
5215000000.0,5343500000.0,0.12836976020803964,-0.563683636457147,0.10851001739501953,-0.06858842074871063
5215000000.0,5343750000.0,0.12934335376228853,-0.5643492659619292,0.10928696393966675,-0.06918137520551682
5215000000.0,5344000000.0,0.1278010781245969,-0.5751272870814017,0.10724083334207535,-0.06951632350683212
5215000000.0,5344250000.0,0.12787042794365971,-0.5801095116314324,0.10695116221904755,-0.07008776813745499
5215000000.0,5344500000.0,0.1268052024255495,-0.5737185155275142,0.1065022349357605,-0.0688246563076973
5215000000.0,5344750000.0,0.12878721522309144,-0.5663780261561233,0.10867708921432495,-0.06910453736782074
5215000000.0,5345000000.0,0.1288153849893787,-0.5639436666286736,0.1088688001036644,-0.06885483115911484
